module,lines,functions,classes
srlqa\__init__.py,6,0,0
srlqa\config.py,162,7,6
srlqa\data\__init__.py,2,0,0
srlqa\data\convert_to_mrc.py,227,13,1
srlqa\data\dataset_library.py,106,6,0
srlqa\decoding\__init__.py,6,0,0
srlqa\decoding\constrained_decoder.py,56,2,1
srlqa\decoding\role_priors.py,21,1,0
srlqa\decoding\span_rules.py,84,4,1
srlqa\distillation\__init__.py,2,0,0
srlqa\distillation\filter_teacher_labels.py,36,2,0
srlqa\distillation\teacher_runner.py,26,2,1
srlqa\distillation\train_student.py,11,1,0
srlqa\ensemble\__init__.py,2,0,0
srlqa\ensemble\calibrated_confidence.py,13,2,1
srlqa\ensemble\weighted_voter.py,34,1,0
srlqa\evaluation\__init__.py,5,0,0
srlqa\evaluation\calibration.py,35,2,0
srlqa\evaluation\offline_eval.py,49,2,0
srlqa\evaluation\span_metrics.py,64,6,0
srlqa\main.py,222,12,0
srlqa\model_hub.py,187,14,2
srlqa\models\__init__.py,5,0,0
srlqa\models\mrc_srl_qa.py,137,4,2
srlqa\nominal\__init__.py,2,0,0
srlqa\nominal\nominal_detector.py,17,1,0
srlqa\nominal\nominal_eval.py,17,1,0
srlqa\nominal\qa_noun_templates.py,16,1,0
srlqa\pipeline.py,388,16,1
srlqa\proto_roles\__init__.py,2,0,0
srlqa\proto_roles\minimal_pair_suite.py,16,0,0
srlqa\proto_roles\proto_role_aux_loss.py,10,1,0
srlqa\proto_roles\proto_role_features.py,15,1,0
srlqa\reports\__init__.py,2,0,0
srlqa\reports\leaderboard.py,32,2,0
srlqa\retrieval\__init__.py,6,0,0
srlqa\retrieval\build_frame_index.py,16,1,0
srlqa\retrieval\frame_retriever.py,59,5,1
srlqa\retrieval\propbank_index.py,118,7,3
srlqa\training\__init__.py,2,0,0
srlqa\training\collators.py,98,6,2
srlqa\training\hard_negative_mining.py,51,2,0
srlqa\training\losses.py,38,3,0
srlqa\training\ranking_loss.py,18,2,0
srlqa\training\train_mrc_srl.py,51,2,0
srlqa\verification\__init__.py,6,0,0
srlqa\verification\self_correction.py,31,2,1
srlqa\verification\span_verifier.py,68,3,2
srlqa\verification\verifier_training_data.py,32,1,0
